"aoi_id","aoi_role","target_year","scene_count","item_ids","composite_path","valid_mask_path","width","height","crs","resolution_m","valid_pixel_count","aoi_pixel_count","valid_coverage_pct","sha256","status"
"iberia_final_holdout","final_geographic_holdout","2018","1","S2B_MSIL2A_20180724T145729_R039_T19LDH_20201011T193837","data\processed\sentinel2_composites\iberia_final_holdout\sentinel2_2018_composite.tif","data\processed\sentinel2_composites\iberia_final_holdout\sentinel2_2018_valid_mask.tif","1531","1331","EPSG:32719","10.0","2026475","2026507","99.9984","f7fd1ab7cd21473add650d4d68c5a5ad766d49828b8a0a813940dc442ada8613","passed"
"iberia_final_holdout","final_geographic_holdout","2022","1","S2B_MSIL2A_20220812T145729_R039_T19LDH_20220813T015553","data\processed\sentinel2_composites\iberia_final_holdout\sentinel2_2022_composite.tif","data\processed\sentinel2_composites\iberia_final_holdout\sentinel2_2022_valid_mask.tif","1531","1331","EPSG:32719","10.0","2026507","2026507","100.0","34834be6afbf7eae93f3600dfde2f05794e9854c3f762336e9ce9ab5b80e96c9","passed"
"inambari_development","dataset_development","2018","1","S2A_MSIL2A_20180828T145721_R039_T19LCF_20201027T054517","data\processed\sentinel2_composites\inambari_development\sentinel2_2018_composite.tif","data\processed\sentinel2_composites\inambari_development\sentinel2_2018_valid_mask.tif","1524","1335","EPSG:32719","10.0","1997026","2013446","99.1845","0fbc012f61bed7e6b3c06b77104a654e3c46769f7588bea250c5a68c8795a2fb","passed"
"inambari_development","dataset_development","2022","1","S2B_MSIL2A_20220613T145729_R039_T19LCF_20220614T100200","data\processed\sentinel2_composites\inambari_development\sentinel2_2022_composite.tif","data\processed\sentinel2_composites\inambari_development\sentinel2_2022_valid_mask.tif","1524","1335","EPSG:32719","10.0","2013446","2013446","100.0","6b1aee7519c0769c2169be76c0bb8580c4535688c8f19f0c544363df0e9ed656","passed"
"la_pampa","dataset_development","2018","1","S2A_MSIL2A_20180619T145731_R039_T19LCF_20201011T235605","data\processed\sentinel2_composites\la_pampa\sentinel2_2018_composite.tif","data\processed\sentinel2_composites\la_pampa\sentinel2_2018_valid_mask.tif","1307","1112","EPSG:32719","10.0","1422999","1439435","98.8582","b9f87d4a5ef3822ac9ee6986a7a2e879608c1ab402cecbd64500b9cec8fae984","passed"
"la_pampa","dataset_development","2022","1","S2B_MSIL2A_20220613T145729_R039_T19LCF_20220614T100200","data\processed\sentinel2_composites\la_pampa\sentinel2_2022_composite.tif","data\processed\sentinel2_composites\la_pampa\sentinel2_2022_valid_mask.tif","1307","1112","EPSG:32719","10.0","1439435","1439435","100.0","475509b92fe4ab9d24de322bc41df3f9d31903d1d00750d06bace979da5b931c","passed"
"laberinto_development","dataset_development","2018","1","S2A_MSIL2A_20180726T144731_R139_T19LDG_20201011T201334","data\processed\sentinel2_composites\laberinto_development\sentinel2_2018_composite.tif","data\processed\sentinel2_composites\laberinto_development\sentinel2_2018_valid_mask.tif","1525","1331","EPSG:32719","10.0","2018314","2018334","99.999","c530d90987ab792852f978b3f3f470d0cd7f94a45b67692716570a2fc9a7b841","passed"
"laberinto_development","dataset_development","2022","1","S2A_MSIL2A_20220615T144741_R139_T19LDG_20240620T023425","data\processed\sentinel2_composites\laberinto_development\sentinel2_2022_composite.tif","data\processed\sentinel2_composites\laberinto_development\sentinel2_2022_valid_mask.tif","1525","1331","EPSG:32719","10.0","2018334","2018334","100.0","6174d2d7f3e7418b155a7527e3e4403f84f4278a60641e1bab55c58de9ac9676","passed"
"las_piedras_development","dataset_development","2018","1","S2B_MSIL2A_20180830T144719_R139_T19LDG_20201103T163533","data\processed\sentinel2_composites\las_piedras_development\sentinel2_2018_composite.tif","data\processed\sentinel2_composites\las_piedras_development\sentinel2_2018_valid_mask.tif","1526","1329","EPSG:32719","10.0","2022251","2022251","100.0","d78929c2512a2b59026f4175d00c6e5014e76cfd48660a57c209499966bc6e60","passed"
"las_piedras_development","dataset_development","2022","1","S2A_MSIL2A_20220615T144741_R139_T19LDG_20240620T023425","data\processed\sentinel2_composites\las_piedras_development\sentinel2_2022_composite.tif","data\processed\sentinel2_composites\las_piedras_development\sentinel2_2022_valid_mask.tif","1526","1329","EPSG:32719","10.0","2022251","2022251","100.0","3f3217f5ca8755a767095cec548ca0be3f915f1e9b0e5fbb2b8303a28e74b7c1","passed"
"mining_training_area","dataset_development","2018","1","S2A_MSIL2A_20180828T145721_R039_T19LCF_20201027T054517","data\processed\sentinel2_composites\mining_training_area\sentinel2_2018_composite.tif","data\processed\sentinel2_composites\mining_training_area\sentinel2_2018_valid_mask.tif","1636","1337","EPSG:32719","10.0","2133717","2160717","98.7504","99995dfc12fdeddce2aaeee95d0aea0020812b837b310262e02fdef885098804","passed"
"mining_training_area","dataset_development","2022","1","S2B_MSIL2A_20220613T145729_R039_T19LCF_20220614T100200","data\processed\sentinel2_composites\mining_training_area\sentinel2_2022_composite.tif","data\processed\sentinel2_composites\mining_training_area\sentinel2_2022_valid_mask.tif","1636","1337","EPSG:32719","10.0","2160713","2160717","99.9998","fc5ff24cca5bfd886d76ded67ca2fa07e58f95d871d77a778ec1555db2976be1","passed"
"tambopata_test_area","geographic_holdout","2018","1","S2B_MSIL2A_20180813T145719_R039_T19LDF_20201011T012216","data\processed\sentinel2_composites\tambopata_test_area\sentinel2_2018_composite.tif","data\processed\sentinel2_composites\tambopata_test_area\sentinel2_2018_valid_mask.tif","1306","1111","EPSG:32719","10.0","1434462","1439193","99.6713","8b1821d9c20900a49f41da7835069db7442e8828a9eb82b8abeaa72436bafb18","passed"
"tambopata_test_area","geographic_holdout","2022","1","S2B_MSIL2A_20220901T145729_R039_T19LDF_20220902T070719","data\processed\sentinel2_composites\tambopata_test_area\sentinel2_2022_composite.tif","data\processed\sentinel2_composites\tambopata_test_area\sentinel2_2022_valid_mask.tif","1306","1111","EPSG:32719","10.0","1439193","1439193","100.0","bb3c05190d2ef4f58f1c1eddfaf148e6ca4fd62aebb5990b98e70b0106a9d30e","passed"
