feature,importance
b04_2022__max,0.09294383249283013
b08_2018__std,0.05588601270566459
b04_2018__max,0.05281078956578321
b02_2022__max,0.052611693591753404
b02_2022__std,0.0388711904288587
b04_2018__std,0.03799339274587811
b08_2018__max,0.03754052045390121
ndvi_diff__median,0.036062916816958786
ndvi_diff__mean,0.03495369049704022
b04_2022__std,0.023329071474095974
ndvi_2022__median,0.021082637723855352
ndvi_2018__std,0.02004689176129255
b02_2018__std,0.019234754663697562
ndvi_2022__mean,0.01903460961080976
b03_2018__std,0.01845654934583574
b08_2022__max,0.017663675466322623
b08_2022__std,0.01721608300515253
b08_2022__min,0.017113353314936696
b08_2022__mean,0.016672910012835628
b08_2022__median,0.01655000431220828
ndvi_2018__mean,0.016105622136084175
ndvi_diff__std,0.01502736249140476
b03_2018__max,0.014825380381352959
ndvi_diff__min,0.014409712877747761
ndvi_2022__min,0.014224621078425502
ndvi_2018__min,0.01417607045708517
b04_2022__min,0.013807047074983694
b02_2018__max,0.013514291024943479
b02_2022__mean,0.012656071207683427
b08_2018__mean,0.012427808196926378
ndvi_2018__median,0.01231832149971861
b04_2022__mean,0.011832678025533306
b02_2018__min,0.011167765453073953
ndvi_2022__std,0.010886260103379113
b03_2022__max,0.010267641501078171
b02_2022__min,0.010159024144019676
b03_2018__mean,0.009445967276115706
b02_2018__mean,0.009319462638197828
b02_2018__median,0.009064620763875342
ndvi_diff__max,0.00867956393502855
b03_2022__mean,0.008548165771661542
ndvi_2018__max,0.00840402413657685
b04_2018__mean,0.008132910512010781
b03_2022__median,0.007749059115823732
b04_2018__min,0.0076749068452271335
b03_2022__std,0.007663008580699537
b08_2018__median,0.007358473115364011
b03_2022__min,0.007306623591996129
b04_2022__median,0.007162821770442106
ndvi_2022__max,0.007126784477638157
b03_2018__median,0.0069268053747382164
b08_2018__min,0.0068310403492251376
b03_2018__min,0.00677839927065746
b04_2018__median,0.006142511908507915
b02_2022__median,0.005804592923062665
