split,aoi_id,error_type,patch_count,mean_probability,mean_loss_fraction
test,tambopata_test_area,false_negative,191,0.38380213836380644,0.03308041565445027
test,tambopata_test_area,false_positive,2374,0.5548004232938085,0.0
test,tambopata_test_area,true_negative,13083,0.3818907229140125,0.0
test,tambopata_test_area,true_positive,226,0.6321491756641457,0.08248496292035398
train,la_pampa,false_negative,34,0.4207631995680159,0.019071691470588237
train,la_pampa,false_positive,2,0.5043189902472509,0.0
train,la_pampa,true_negative,5450,0.03758353998599477,0.0
train,la_pampa,true_positive,553,0.7657096750046516,0.11335718544303797
train,mining_training_area,false_negative,13,0.4265663710643425,0.013746996153846154
train,mining_training_area,false_positive,76,0.559888708033806,0.0
train,mining_training_area,true_negative,5068,0.12951035901398755,0.0
train,mining_training_area,true_positive,5636,0.9115826260811312,0.21549715983321502
validation,la_pampa,false_negative,75,0.06788626761413154,0.1552343756
validation,la_pampa,true_negative,641,0.045876028142212456,0.0
validation,la_pampa,true_positive,8,0.7375513239646145,0.2814941425
validation,mining_training_area,false_negative,113,0.27105212540082674,0.04243293663716814
validation,mining_training_area,false_positive,253,0.5939217087288929,0.0
validation,mining_training_area,true_negative,2384,0.22108953950508767,0.0
validation,mining_training_area,true_positive,556,0.8024028458271117,0.1791289621942446
