reference_split,comparison_split,feature,channel,statistic,reference_mean,comparison_mean,standardized_mean_difference,population_stability_index,jensen_shannon_divergence,model_importance,importance_weighted_smd
train,test,b04_2022__max,b04_2022,max,0.6244866847991943,0.5857407450675964,1.3457832336425781,2.0101791819723154,0.281148152691089,0.0618876818803277,0.0832874046435506
train,test,ndvi_diff__mean,ndvi_diff,mean,0.017610348761081696,0.025564782321453094,2.7622690200805664,21.798944945604713,0.935204204709953,0.023582970320348,0.06514250831737675
train,test,ndvi_diff__p10,ndvi_diff,p10,0.014033191837370396,0.02238745242357254,2.859285831451416,31.174776401015464,0.9303067380819634,0.0221344660814631,0.06328876525346938
train,test,ndvi_diff__p25,ndvi_diff,p25,0.01565190590918064,0.023799143731594086,2.862398862838745,31.47392774083257,0.9299785679754429,0.0184108436128694,0.052699177821379346
train,test,b02_2022__std,b02_2022,std,0.049857623875141144,0.03298702836036682,1.3930238485336304,2.5088572138678362,0.3342950123837316,0.0348229838980336,0.04850924704706341
train,test,ndvi_diff__median,ndvi_diff,median,0.01745479367673397,0.02538532204926014,2.845567226409912,31.77931230147435,0.9340536927395751,0.016049827179531,0.04567086221161645
train,test,b02_2022__max,b02_2022,max,0.5353667736053467,0.48209622502326965,1.0333279371261597,1.1289749488102152,0.18019305985621756,0.0425877849845238,0.04400714800483042
train,test,ndvi_2022__p25,ndvi_2022,p25,0.016553228721022606,0.019380992278456688,1.7167792320251465,4.866803507740611,0.531012443482693,0.0202587823901525,0.03477985687353057
train,test,ndvi_diff__p75,ndvi_diff,p75,0.01935635507106781,0.027085527777671814,2.730430841445923,23.772029763303852,0.9337508540245975,0.0116445638184931,0.031794676185198864
train,test,ndvi_2022__p10,ndvi_2022,p10,0.014745460823178291,0.01780238375067711,1.7717077732086182,5.072734912178936,0.5391440273726793,0.0150562811705731,0.026675330385518916
train,test,b04_2018__std,b04_2018,std,0.007199909072369337,0.004962301347404718,0.7886725068092346,2.2208505939228536,0.32235682966630785,0.0307895883411741,0.024282901820658162
train,test,ndvi_diff__min,ndvi_diff,min,0.009061247110366821,0.018097203224897385,2.877324104309082,36.19287699747463,0.9274996998828272,0.008392368336776,0.024147563707645904
train,test,b04_2022__p90,b04_2022,p90,0.5670185685157776,0.5342504382133484,1.43199622631073,2.7628719091678695,0.34209370070452827,0.0137926273109999,0.019750990260262166
train,test,b04_2018__min,b04_2018,min,0.11446057260036469,0.12535056471824646,3.7369706630706787,22.82804904567907,0.8502111804752092,0.0047956126787903,0.017921063892089143
train,test,ndvi_2022__median,ndvi_2022,median,0.01858179271221161,0.02119074948132038,1.611966609954834,4.846065411049034,0.4877304552870776,0.0102486750195918,0.016520521927860184
train,test,b03_2018__min,b03_2018,min,0.10982026159763336,0.1177506372332573,4.129053115844727,35.96412928934367,0.9011322829077761,0.0038892116750704,0.016058761585129123
train,test,b03_2022__p90,b03_2022,p90,0.8898534774780273,0.866010308265686,2.397751808166504,12.789817105458354,0.6372732242808556,0.0065768939486614,0.015769759357522208
train,test,ndvi_2022__mean,ndvi_2022,mean,0.018864916637539864,0.021584559231996536,1.4660568237304688,4.254102859756041,0.4520059531581301,0.0101347997438389,0.014858192321596827
train,test,ndvi_diff__p90,ndvi_diff,p90,0.021280255168676376,0.028875192627310753,2.290881395339966,21.733261512625106,0.9037033079464142,0.0064853822432897,0.014857241522820544
train,test,b08_2022__min,b08_2022,min,-0.5473666191101074,-0.47464120388031006,1.0306447744369507,2.8835962207669654,0.4004757811995694,0.0143123534735659,0.014750952317425235
train,test,b08_2022__p90,b08_2022,p90,-0.29822054505348206,-0.3079864978790283,0.38760697841644287,2.5630397501039974,0.3803636204224798,0.0379561648569577,0.01471207437248175
train,test,b03_2018__p10,b03_2018,p10,0.11522632092237473,0.12241175770759583,4.3846869468688965,24.743391452325344,0.9329268603198162,0.003340979321336,0.014649148420020863
train,test,b03_2022__p75,b03_2022,p75,0.8814035654067993,0.8569453954696655,2.4882190227508545,7.258219767351125,0.6578631655908522,0.0057269492295788,0.01424990401536632
train,test,b08_2018__min,b08_2018,min,0.10877455770969391,0.11596304178237915,3.5175838470458984,15.691221311276612,0.8070040062529562,0.0038847032532762,0.013664769414291013
