split,aoi_id,grid_row,grid_col,patch_count,positive_rate,mean_probability,false_positives,false_negatives,error_rate
test,tambopata_test_area,0,0,2953,0.04300711141212327,0.38447558043469027,107,60,0.05655265831357941
test,tambopata_test_area,0,1,2637,0.03223359878649981,0.43395586674284264,477,38,0.19529768676526355
test,tambopata_test_area,0,2,1402,0.020684736091298145,0.5091145363262805,711,1,0.5078459343794579
test,tambopata_test_area,1,0,2325,0.027096774193548386,0.4002250217695679,235,24,0.1113978494623656
test,tambopata_test_area,1,1,3527,0.01842925999432946,0.3915339481025964,291,29,0.0907286645874681
test,tambopata_test_area,1,2,1992,0.012048192771084338,0.4196625341109151,468,15,0.24246987951807228
test,tambopata_test_area,2,0,425,0.009411764705882352,0.38735786670215816,13,4,0.04
test,tambopata_test_area,2,1,389,0.05141388174807198,0.35210937883670895,22,20,0.10796915167095116
test,tambopata_test_area,2,2,224,0.0,0.3885671657152076,50,0,0.22321428571428573
train,la_pampa,0,0,1245,0.02891566265060241,0.054323924192188164,0,3,0.0024096385542168677
train,la_pampa,0,1,1870,0.06096256684491978,0.06644524774576739,0,11,0.0058823529411764705
train,la_pampa,1,0,1427,0.1289418360196216,0.1335923566428306,2,1,0.002102312543798178
train,la_pampa,1,1,655,0.3068702290076336,0.28380972398654114,0,15,0.022900763358778626
train,la_pampa,1,2,187,0.20320855614973263,0.2368957506394398,0,1,0.0053475935828877
train,la_pampa,2,0,384,0.03125,0.05018403141112892,0,3,0.0078125
train,la_pampa,2,1,135,0.014814814814814815,0.03939217814407741,0,0,0.0
train,la_pampa,2,2,136,0.0,0.04615184883668152,0,0,0.0
train,mining_training_area,0,0,2446,0.5453802125919869,0.5620649245963767,9,2,0.004497138184791497
train,mining_training_area,0,1,1466,0.703956343792633,0.7286902270727472,26,0,0.017735334242837655
train,mining_training_area,0,2,1145,0.6480349344978166,0.6479488018642983,8,0,0.0069868995633187774
train,mining_training_area,1,1,1763,0.6091888825865003,0.6085108090831468,12,1,0.00737379466817924
train,mining_training_area,1,2,415,0.0891566265060241,0.16762300430796476,1,2,0.007228915662650603
train,mining_training_area,1,3,28,0.8571428571428571,0.812954897560469,0,0,0.0
train,mining_training_area,2,0,1899,0.20326487625065823,0.2561841791552196,14,5,0.010005265929436546
train,mining_training_area,2,1,759,0.7180500658761528,0.7007115700489204,4,1,0.006587615283267457
train,mining_training_area,2,2,841,0.5279429250891795,0.5317684379583915,2,2,0.0047562425683709865
train,mining_training_area,2,3,31,1.0,0.8542288253405798,0,0,0.0
validation,la_pampa,0,2,724,0.11464088397790055,0.05579891533416432,0,75,0.10359116022099447
validation,mining_training_area,1,0,3306,0.20235934664246824,0.34909392829361957,253,113,0.11070780399274047
