feature,importance
b04_2022__max,0.06188768188032774
b02_2022__max,0.04258778498452383
b04_2018__max,0.04183433532565248
b08_2018__std,0.041006279765138105
b08_2022__p90,0.037956164856957776
b08_2018__max,0.03488552522220512
b02_2022__std,0.03482298389803361
b04_2018__std,0.03078958834117416
ndvi_diff__mean,0.02358297032034808
ndvi_diff__p10,0.022134466081463192
ndvi_2022__p25,0.02025878239015257
b08_2022__p75,0.019657150257600755
ndvi_diff__p25,0.018410843612869404
ndvi_diff__median,0.016049827179531014
b04_2022__std,0.015831192234400812
ndvi_2022__p10,0.015056281170573128
b03_2018__std,0.014868862042537219
b08_2022__min,0.014312353473565992
b04_2022__p90,0.013792627310999988
b04_2018__p90,0.01315299586736977
ndvi_2018__std,0.01255677441581431
b08_2022__std,0.012250137335681898
ndvi_diff__p75,0.011644563818493164
b02_2018__std,0.011537496377650688
b03_2018__max,0.011375303308648894
b04_2022__min,0.01085198899252665
b02_2022__p90,0.010822068469553699
ndvi_2022__median,0.01024867501959185
ndvi_2022__mean,0.010134799743838935
ndvi_diff__std,0.00959927581700796
b08_2018__p90,0.008686246553885784
ndvi_2018__p90,0.00863035467319291
b08_2022__max,0.008510537267659863
ndvi_diff__min,0.008392368336776037
b02_2018__max,0.008343256963320323
ndvi_2018__p10,0.007869396651430247
ndvi_2018__p25,0.007302115478552459
b08_2022__median,0.0072897255860757204
b08_2018__mean,0.00727478167137407
b02_2022__min,0.007225437789884169
ndvi_2018__p75,0.007205870551436606
ndvi_2018__min,0.006890899707582002
b02_2018__min,0.006791210971111022
b08_2022__mean,0.0066609903354738886
b02_2018__p90,0.006616658230834739
ndvi_2022__min,0.006613278304463151
b03_2022__p90,0.00657689394866146
ndvi_diff__p90,0.0064853822432897395
ndvi_2018__mean,0.0064405849601428845
ndvi_2018__median,0.00619408738865231
ndvi_2022__std,0.006189503840691366
b02_2022__mean,0.005890666125255765
b08_2022__p25,0.005762633071422725
b03_2022__p75,0.005726949229578877
b02_2018__p75,0.00559640102816372
ndvi_2022__p75,0.005453306339038917
b03_2022__max,0.005348617240795178
b03_2018__p90,0.005269432324607357
b04_2022__p75,0.0051094484468299246
ndvi_diff__max,0.005067620317162147
ndvi_2022__p90,0.005058432536350501
b04_2018__mean,0.004991715409751618
b03_2018__mean,0.004975645378906677
b04_2022__mean,0.004907293114747531
b04_2018__min,0.004795612678790389
b08_2022__p10,0.00478685004190187
b02_2018__mean,0.004784427558766273
ndvi_2022__max,0.004657097206872176
ndvi_2018__max,0.004610169395885005
b02_2018__median,0.004540794429725744
b03_2022__std,0.004502958517106547
b03_2022__min,0.004488769199125024
b02_2018__p25,0.004449705230696459
b08_2018__p75,0.004354634473082061
b03_2022__p10,0.0041249146911384515
b02_2022__p75,0.00410174741661264
b04_2018__p75,0.004101076853241964
b03_2022__mean,0.004003120327063366
b03_2018__p75,0.003954856863530766
b03_2018__min,0.003889211675070453
b08_2018__min,0.003884703253276272
b02_2018__p10,0.003831835143801322
b03_2022__median,0.0037768389960370578
b03_2022__p25,0.003614026270709868
b08_2018__p10,0.0035739894800567457
b08_2018__median,0.003555565378962177
b03_2018__median,0.0035207563507211855
b08_2018__p25,0.0035168610628782022
b04_2022__p10,0.0034971311600774375
b02_2022__median,0.003491679733242766
b04_2022__p25,0.003419767598662307
b04_2022__median,0.003382877482301086
b03_2018__p25,0.003380717048555047
b02_2022__p10,0.003372676863287349
b03_2018__p10,0.003340979321336002
b04_2018__p10,0.0030465024492675667
b02_2022__p25,0.002812491429117763
b04_2018__p25,0.002805478886639927
b04_2018__median,0.002781654001126428
