feature_set,rank,feature,source_comparison_split
ablate_top_10,1,b02_2022__std,validation
ablate_top_10,2,b04_2018__max,validation
ablate_top_10,3,ndvi_diff__mean,validation
ablate_top_10,4,b02_2018__std,validation
ablate_top_10,5,b02_2022__max,validation
ablate_top_10,6,ndvi_2018__std,validation
ablate_top_10,7,ndvi_diff__p10,validation
ablate_top_10,8,b04_2018__std,validation
ablate_top_10,9,ndvi_diff__p25,validation
ablate_top_10,10,ndvi_diff__median,validation
ablate_top_20,1,b02_2022__std,validation
ablate_top_20,2,b04_2018__max,validation
ablate_top_20,3,ndvi_diff__mean,validation
ablate_top_20,4,b02_2018__std,validation
ablate_top_20,5,b02_2022__max,validation
ablate_top_20,6,ndvi_2018__std,validation
ablate_top_20,7,ndvi_diff__p10,validation
ablate_top_20,8,b04_2018__std,validation
ablate_top_20,9,ndvi_diff__p25,validation
ablate_top_20,10,ndvi_diff__median,validation
ablate_top_20,11,ndvi_diff__std,validation
ablate_top_20,12,b04_2022__max,validation
ablate_top_20,13,ndvi_2022__p25,validation
ablate_top_20,14,b02_2018__max,validation
ablate_top_20,15,ndvi_2018__p90,validation
ablate_top_20,16,ndvi_diff__p75,validation
ablate_top_20,17,b08_2022__min,validation
ablate_top_20,18,b04_2022__std,validation
ablate_top_20,19,b04_2022__min,validation
ablate_top_20,20,b02_2018__p90,validation
