feature,importance
b04_2022__max,0.042325113374294045
b02_2022__max,0.029389117142982032
b08_2022__p90,0.028926524431518122
b08_2018__max,0.026458486892903265
b02_2022__std,0.024531072729724924
b04_2022__p90,0.021884478894684378
b04_2018__std,0.021578942318385124
ndvi_diff__p25,0.02130714896414602
b02_2022__p90,0.019980277815273596
b08_2018__std,0.01982843802536873
ndvi_diff__mean,0.01894469867523916
ndvi_diff__p10,0.018634207472625567
b08_2022__p75,0.017893417090321148
b04_2018__max,0.01776639299679637
ndvi_2022__p25,0.017235784354210484
ndvi_diff__min,0.017140132065213455
ndvi_diff__p75,0.016672972496727733
b08_2022__min,0.016197169037178293
b04_2018__p90,0.015306419711506617
ndvi_diff__median,0.015196667478125946
b08_2022__std,0.01517636555411818
ndvi_2018__p10,0.015076720065136894
ndvi_2022__p10,0.013931891500059584
ndvi_2018__p25,0.013921086499755783
ndvi_2022__median,0.013679022786996215
b03_2018__std,0.013028440407383192
b04_2022__std,0.012703196419071366
b04_2022__min,0.012702375616017437
ndvi_2018__min,0.011872127708799498
b03_2018__max,0.011035588743448965
ndvi_2022__min,0.010911881853036166
ndvi_2018__p75,0.010911615621175992
ndvi_2018__median,0.010658306629205028
ndvi_2018__mean,0.010424483279004141
ndvi_2018__p90,0.010383852241403946
b04_2022__p75,0.010284452185744771
b02_2022__mean,0.01021524106906813
b02_2022__p75,0.00988980505250086
ndvi_diff__p90,0.009845556036356356
b08_2022__median,0.009649174324294615
b02_2022__min,0.009289169442653258
b08_2018__p90,0.008848660687899421
b08_2022__mean,0.00852950894556087
b02_2018__std,0.00835450349637916
b08_2018__min,0.00809345455974271
ndvi_2022__p75,0.007883714015096794
b04_2018__p75,0.007735800783948766
b03_2022__p75,0.00748254977955093
b08_2018__mean,0.007411813837410978
b04_2018__mean,0.007359150467097585
ndvi_2018__std,0.0072650800763428705
b02_2018__p90,0.0072597043715882225
ndvi_2022__mean,0.007238450204391559
b03_2022__p90,0.007152561605685103
b02_2018__min,0.007022911508554558
b08_2022__max,0.006959852236991241
b03_2022__max,0.006890222241318568
b02_2018__p75,0.006510564359152474
b04_2022__mean,0.006487528028427869
b03_2018__p90,0.0063913354960242865
b03_2022__median,0.006024773038395059
b02_2018__max,0.005959757666939138
b02_2018__p25,0.005943895606240718
b08_2018__p75,0.00585291524462894
b08_2022__p25,0.005837675387124738
ndvi_2022__p90,0.005783796141148446
b02_2022__median,0.005721104489771223
ndvi_diff__std,0.005611325639235547
b02_2018__mean,0.005540401696843356
b02_2018__median,0.005370418813558653
b04_2022__median,0.005251221914483266
b02_2018__p10,0.005240103863048504
b04_2018__min,0.005213548029821606
b03_2018__p75,0.00514953505404259
b08_2018__p10,0.004988317679870496
b03_2018__mean,0.004871457106644089
b03_2018__p25,0.00486238259535753
b03_2018__min,0.004814549252287353
b08_2022__p10,0.004800553533921773
b03_2022__mean,0.004708430755231411
ndvi_diff__max,0.00470452188985919
b08_2018__median,0.004686271859224516
b08_2018__p25,0.004671033126782938
b03_2018__median,0.004627982977563579
b04_2022__p10,0.004623607461678235
b04_2018__median,0.004582209624708544
b03_2018__p10,0.004528145966418862
b03_2022__p25,0.004360219967968566
ndvi_2022__std,0.004283878656475789
b03_2022__p10,0.004240102781154642
ndvi_2018__max,0.00418241529424248
b02_2022__p25,0.004029041605659228
b02_2022__p10,0.003778603350341683
b03_2022__min,0.0037101633282728154
ndvi_2022__max,0.003685899430167885
b04_2022__p25,0.0036711969305940426
b04_2018__p10,0.003596797381121704
b04_2018__p25,0.003442173129917385
b03_2022__std,0.003384390025634217
