feature,importance
b03_2018__mean,0.06461673013527362
b04_2022__max,0.054153093950877786
b08_2018__std,0.046974491420427714
b04_2018__std,0.04649637954329009
b04_2018__max,0.040716718946462956
b02_2022__max,0.03810030364127805
b03_2018__median,0.036927313272064805
b08_2018__max,0.03260956466014347
ndvi_diff__median,0.027584541124237822
ndvi_diff__mean,0.025129103104073826
ndvi_diff__min,0.024646042713365523
ndvi_diff__std,0.022440603507928526
ndvi_2022__std,0.021458902420224538
b02_2022__std,0.021448499613319343
b03_2018__std,0.019556804805719488
ndvi_2018__std,0.01938673157397426
b02_2022__mean,0.01938110732728368
b08_2022__min,0.018837821141976796
b02_2022__median,0.01785083478765183
b04_2018__mean,0.017259351152966278
ndvi_2022__mean,0.017001401724428163
b04_2022__std,0.01663685529587618
b03_2018__max,0.015463921488200461
b08_2022__std,0.015348928470035255
ndvi_2018__mean,0.015272037310683774
b03_2018__min,0.015002771771695412
b02_2018__std,0.014495439515909026
ndvi_2022__median,0.014430579553029245
b04_2022__median,0.014064391976807243
b04_2022__mean,0.013950665513061861
b08_2018__mean,0.013849721988661048
ndvi_2018__median,0.0133935030137562
b02_2018__max,0.013120924380576158
b03_2022__median,0.01236605211205217
b03_2022__max,0.011797665978859496
b08_2022__median,0.010722110825234507
b04_2018__median,0.010079310889958566
b08_2022__mean,0.009934801380687704
b04_2022__min,0.009703817027342668
b03_2022__mean,0.00963364666505459
b02_2018__mean,0.009286704456544174
ndvi_2018__min,0.009152657251752488
ndvi_2022__min,0.008955129307734715
b02_2018__median,0.008720038998870515
b08_2022__max,0.00867830288695317
b08_2018__min,0.00860153971387867
b03_2022__std,0.008592909600811504
b04_2018__min,0.007541913059662134
ndvi_diff__max,0.007389265619041904
ndvi_2018__max,0.007307742762032386
b02_2022__min,0.007264253223267143
b08_2018__median,0.007093706348005461
ndvi_2022__max,0.006649277064684523
b03_2022__min,0.006513188628782245
b02_2018__min,0.006409885353528941
