feature,importance
b04_2022__max,0.04513782391933354
b03_2018__median,0.0389225561086531
b03_2018__mean,0.038877681866410455
b02_2022__std,0.035604828767845
b08_2018__max,0.03509332798411421
b02_2022__max,0.03344448806006947
b03_2018__min,0.02962004840260484
b04_2018__std,0.028884952277574198
b08_2018__std,0.028794935853741786
b02_2022__mean,0.027762956145219
b04_2018__max,0.025121928582591692
ndvi_diff__min,0.0246894814639346
b04_2022__std,0.023883426503066924
b08_2022__min,0.023350702655492012
b04_2018__mean,0.02229036751924208
b02_2022__median,0.02144286068680568
ndvi_diff__median,0.01924287911574385
b03_2018__std,0.01908378441716415
b03_2018__max,0.01893488390208554
b04_2022__median,0.017723396241389473
b02_2018__std,0.01743717139500305
b04_2022__min,0.017300490354588985
ndvi_diff__mean,0.01722599370070528
b08_2018__mean,0.016977517584066543
ndvi_2018__std,0.016958529556069902
b08_2022__std,0.016791679142944462
b04_2018__median,0.016761090711192073
b04_2022__mean,0.016263813458886462
ndvi_diff__std,0.01602375435718091
b08_2018__min,0.014878708337767194
ndvi_2022__median,0.014330252250964064
ndvi_2018__mean,0.014151628914070388
ndvi_2018__median,0.014097223835265557
b02_2018__max,0.013802152180473067
ndvi_2022__mean,0.013605318875374866
ndvi_2018__min,0.013144847876530233
b02_2018__mean,0.013010142289993316
b02_2018__median,0.012969438469921782
ndvi_2022__std,0.012801680788574625
ndvi_2022__min,0.012692616500742545
b08_2018__median,0.011865702280839672
b02_2022__min,0.011230544219251865
b08_2022__median,0.010912841862065694
b04_2018__min,0.010769012310232744
b03_2022__median,0.010541291228658961
b03_2022__mean,0.010417517757756574
b08_2022__mean,0.010278581703875135
b03_2022__max,0.009534231705150682
b02_2018__min,0.008795953722418539
b08_2022__max,0.008517549425456787
b03_2022__std,0.007983164477736676
b03_2022__min,0.007763632214545479
ndvi_2022__max,0.00768822274057749
ndvi_diff__max,0.007554741299237715
ndvi_2018__max,0.007015651998799093
